"Place","Datetime","Fire","PM2.5","PM10","NO","NO2","NOx","CO","CO2","O2","Temper","Humid"
"Ho Chi Minh City","6/18/2023 1:00","Non","21.26","11.18","11.33","18.61","29.22","15.58","29.99","95.67","28.59","23.93"
"Ho Chi Minh City","6/18/2023 2:00","Non","34","15.35","23.85","17.13","16.75","10.53","10.15","80.23","32.2","21.88"
"Ho Chi Minh City","6/18/2023 3:00","Non","28.12","19.16","22.03","24.03","29.28","16.98","23.56","87.12","31.7","20.31"
"Ho Chi Minh City","6/18/2023 4:00","Non","35.17","25.71","19.76","26.27","17.13","17.58","18.3","66.94","32.83","22.12"
"Ho Chi Minh City","6/18/2023 5:00","Fire","86.88","73.53","79.76","70.34","95.78","70","118.34","19.26","197.1","72.62"
"Ho Chi Minh City","6/18/2023 5:05","Fire","99.88","72.25","62.33","83.93","69.95","88.25","101.68","13.13","125.79","88.26"
"Ho Chi Minh City","6/18/2023 6:00","Non","21.89","11.28","13.88","27.79","23.96","18.99","22.82","69.24","24.87","23.9"
"Ho Chi Minh City","6/18/2023 7:00","Fire","68.4","79.61","85.38","85.71","80.95","118.66","97.31","13.77","120.66","97.19"
"Ho Chi Minh City","6/18/2023 7:05","Fire","90.59","55.59","86.82","72.3","87.39","130.58","91.69","7.66","187.99","66.71"
"Ho Chi Minh City","6/18/2023 7:10","Fire","67.85","56.97","56.83","87.33","78.34","83.12","85.49","12.17","150.4","89.25"
"Ho Chi Minh City","6/18/2023 8:00","Non","34.88","26.28","19.62","18.94","21.76","14.8","11.6","98.38","24.83","21.4"
"Ho Chi Minh City","6/18/2023 9:00","Non","24.69","16.89","18.17","29.27","25.88","14.06","26.74","66.91","25.59","24.14"
"Ho Chi Minh City","6/18/2023 10:00","Fire","69.7","57.5","89.5","85.2","81.62","71.4","130.61","12.29","165.14","71.63"
"Ho Chi Minh City","6/18/2023 10:05","Fire","78.63","56.25","81.98","65.99","84.69","111.69","147.4","7.1","197.45","69.3"
"Ho Chi Minh City","6/18/2023 11:00","Non","29.76","17.5","25.03","16.47","23.09","28.68","21.98","69.39","32.17","20.92"
"Ho Chi Minh City","6/18/2023 12:00","Fire","80.66","75.54","92.59","91.87","93.14","124.92","128.77","13.17","121.89","73.58"
"Ho Chi Minh City","6/18/2023 12:05","Fire","69.4","68.99","84.32","74.74","73.26","133.45","99.23","10.92","177.3","72.55"
"Ho Chi Minh City","6/18/2023 12:10","Fire","65.5","85.88","72.36","86.56","71.99","138.31","149.58","6.57","173.45","67.83"
"Ho Chi Minh City","6/18/2023 13:00","Non","30.15","17.85","28.3","22.2","20.76","13.88","25.7","68.86","29.87","26.85"
"Ho Chi Minh City","6/18/2023 14:00","Non","30.1","17.9","28.01","29.89","16.01","24.83","10.81","70.57","30.47","29.14"
"Ho Chi Minh City","6/18/2023 15:00","Fire","89.18","76.37","59.65","61.56","96.33","84.65","90.25","6.03","127.14","82.72"
"Ho Chi Minh City","6/18/2023 16:00","Non","34.54","24.78","10.5","22.01","29.45","15.91","27.73","93.56","28.14","21.63"
